	Authors	Title	Citation	DOI	Year	Month	0	1	2	3	FINDINGS	Reported	Correction Date	Retraction	Correction	No Action	"SUM 
Completed"	URL	Home Site	Lab Size	Pub Rate	Other Journals	First Author Affiliation	First Author Career Duration	First Author Degree	First Author Degree Area	world_rank_x	country_x	national_rank	quality_of_education	alumni_employment	quality_of_faculty	publications	influence	citations_x	broad_impact	patents	score	year_x	world_rank_y	country_y	teaching	international	research	citations_y	income	total_score	num_students	student_staff_ratio	international_students	female_male_ratio	year_y	city_ascii	state_id	state_name	county_fips	county_name	lat	lng	population	density	source	military	incorporated	timezone	ranking	zips	county	labor_force	employed	unemployed	rate	(Grover) Falsified Media	Falsified Media (Manually labeled)
95	Chih-Zen Chang, Shu-Chuan Wu, and Aij-Lie Kwan	Magnesium Lithospermate B, an Active Extract of Salvia miltiorrhiza, Mediates sGC/cGMP/PKG Translocation in Experimental Vasospasm	BioMed Research International, Volume 2014, Article ID 272101	10.1155/2014/272101	2014				1.0		Two sets of duplicated blot panels, one rotated	1	1/12/16		1.0		1	http://doi.org/10.1155/2014/272101	Hindawi	9	[]	[]	Kaohsiung Medical University				757.0	Taiwan	10.0	367.0	567.0	218.0	539.0	854.0	812.0	699.0	661.0	44.29	2015.0																																		0.7793501	0
96	Jaeson Santos Calla-Choque, Elisa Elvira Figueroa-Angulo, Leticia A_vila-GonzÃÂlez, and Rossana Arroyoi	__-Actinin TvACTN3 of Trichomonas vaginalis Is an RNA-Binding Protein That Could Participate in Its Posttranscriptional Iron Regulatory Mechanism	BioMed Research International Volume 2014, Article ID 424767	10.1155/2014/424767	2014			1.0			Multiple cases of reused blot strips	1	5/23/16		1.0		1	http://doi.org/10.1155/2014/424767	Hindawi	9	[0.28125, 0.30434782608695654, 0.5]	[[], ['BioMed Research International ', 'The International Journal of Biochemistry & Cell Biology ', 'Microbiology ', 'Proteins Structure Function and Bioinformatics ', 'Microbes and Infection ', 'Departamento de InfectÃÂ³mica y PatogÃÂ©nesis Molecular'], []]																																																			0.78417116	0
97	Li Han, Yafeng Wang, Xiaojuan Guo, Yubing Zhou, Jingmin Zhang, Ning Wang, Jinhua Jiang, Fang Ma, and Qingduan Wang	Downregulation of MDR1 Gene by Cepharanthine Hydrochloride Is Related to the Activation of c-Jun/JNK in K562/ADR Cells	BioMed Research International, Volume 2014, Article ID 164391	10.1155/2014/164391	2014				1.0		Shifted actin blot panels	1	12/5/16	1.0			1	http://doi.org/10.1155/2014/164391	Hindawi	27	[0.5, 0.1875, 0.7777777777777778, 0.42857142857142855, 1.5, 0.01818181818181818, 0.22448979591836735, 0.4358974358974359, 0.4]	[['International journal of psychophysiology: official journal of the International Organization of Psychophysiology ', 'Social Behavior and Personality An International Journal ', 'Journal of Neuroscience Research '], [], [], [], ['Animal Biotechnology ', 'Molecular Biology Reports ', 'Genes and Genomics ', 'Institute of Cellular and Molecular Biology'], ['Journal of Materials Chemistry A ', 'ACS Applied Materials & Interfaces ', 'Chemical Engineering Journal ', 'Angewandte Chemie ', 'Angewandte Chemie International Edition ', 'Department of Anesthesiology', 'Department of Physics', 'College of Physics', 'School of Chemical Biology and Materials Science', 'School of Environmental Science and Engineering'], [], [], ['International Journal of Infrared and Millimeter Waves ', 'International Journal of Electronics ', 'Applied Physics Letters ']]	Mianyang Normal University																																																		0.7239805	0
98	Silvana Lorena Della Penna, Gabriel Cao, Andrea Carranza, Elsa Zotta, Susana Gorzalczany, Carolina Susana Cerrudo, Natalia Luci_a Rukavina Mikusic, Alicia Correa, VerÃÂnica Trida, Jorge Eduardo Toblli, MarÃÂa InÃÂs RosÃÂn, and Belisario Enrique FernÃÂndezlypep	Renal Overexpression of Atrial Natriuretic Peptide and Hypoxia Inducible Factor-1__ as Adaptive Response to a High Salt Diet	BioMed Research International, Volume 2014, Article ID 936978	10.1155/2014/936978	2014			1.0			Duplicated microscopy images, and other panels taken from previous paper	1	9/1/14		1.0		1	http://doi.org/10.1155/2014/936978	Hindawi	40	[0.7857142857142857, nan, 0.7142857142857143, 0.22, 0.29473684210526313, 0.5, 0.6896551724137931, nan, 0.23333333333333334, nan]	[[], [], [], [], [], [], [], [], [], []]	University of Buenos Aires				367.0	Argentina	1.0	126.0	500.0	180.0	276.0	350.0	321.0	344.0	871.0	45.37	2015.0																																		0.72791845	0
99	Mao-Lin Ho, Yih-Shou Hsieh, Jia-Yuh Chen, Kuo-Shuen Chen, Jia-Jing Chen, Wu-Hsien Kuo, Shu-Jiuan Lin, and Pei-Ni Chen	Antimetastatic Potentials of Dioscorea nipponica on Melanoma In Vitro and In Vivo	Evidence-Based Complementary, and Alternative Medicine, Volume 2011, Article ID 507920	10.1155/2011/507920	2011				1.0		Two sets of rotated microscopy images	1	11/11/15		1.0		1	http://doi.org/10.1155/2011/507920	Hindawi	24	[0.09090909090909091, 0.14, 0.16666666666666666, 0.25, nan, nan, nan, nan]	[['Metallurgical and Materials Transactions A ', 'Journal of Materials Engineering and Performance ', 'Materials Letters ', 'Materials Science and Engineering A ', ' School of Materials Science and Engineering'], [], ['The American journal of emergency medicine ', 'Journal of the Formosan Medical Association ', 'SSRN Electronic Journal ', 'American Journal of Critical Care ', 'Department of Emergency Medicine'], ['Desalination ', 'Separation and Purification Technology ', 'SSRN Electronic Journal ', 'Chemosphere ', 'Journal of Solid State Chemistry ', 'College of Chemical Engineering'], [], [], [], []]	Chung Shan Medical University				967.0	Taiwan	18.0	367.0	567.0	218.0	727.0	973.0	645.0	946.0	871.0	44.06	2015.0																																		0.7764871	0
100	Chao-Bin Yeh, Ming-Ju Hsieh, Yih-Shou Hsieh, Ming-Hsien Chien, Pen-Yuan Lin, Hui-Ling Chiou, and Shun-Fa Yang	Terminalia catappa Exerts Antimetastatic Effects on Hepatocellular Carcinoma through Transcriptional Inhibition of Matrix Metalloproteinase-9 by Modulating NF-_B and AP-1 Activity	Evidence-Based Complementary, and Alternative Medicine, Volume 2012, Article ID 595292	10.1155/2012/595292	2012				1.0		overlapping microscopy images	1	11/15/15		1.0		1	http://doi.org/10.1155/2012/595292	Hindawi	21	[0.12121212121212122, nan, nan, nan, nan, nan, 0.02]	[[], [], [], [], [], [], []]	Chung Shan Medical University	12.0	MD	Emergency department, School of Medicine.	967.0	Taiwan	18.0	367.0	567.0	218.0	727.0	973.0	645.0	946.0	871.0	44.06	2015.0																																		0.6241881	0
101	Ying-Yi Chen, Fon-Chang Liu, Pei-Yu Chou, Yi-Chung Chien, Wun-Shaing Wayne Chang, Guang-Jhong Huang, Chieh-Hsi Wu, and Ming-Jyh Sheu	Ethanol Extracts of Fruiting Bodies of Antrodia cinnamomea Suppress CL1-5 Human Lung Adenocarcinoma Cells Migration by Inhibiting Matrix Metalloproteinase-2/9 through ERK, JNK, p38 and PI3K/Akt Signaling Pathways	Evidence-Based Complementary, and Alternative Medicine, Volume 2012, Article ID 378415	10.1155/2012/378415	2012			1.0			Duplicated 0h microscopy images	1	12/2/12		1.0		1	http://doi.org/10.1155/2012/378415	Hindawi	21	[nan, nan, nan, nan, nan, nan, nan]	[[], [], [], [], [], [], []]	China Medical University				982.0	China	78.0	367.0	567.0	218.0	804.0	749.0	645.0	958.0	871.0	44.04	2015.0																																		0.7059233	0
102	Chih-Yu Peng, Hui-Wen Yang, Yin-Hung Chu, Yu-Chao Chang, Ming-Ju Hsieh, Ming-Yung Chou, Kun-Tu Yeh, Yueh-Min Lin, Shun-Fa Yang, and Chiao-Wen Lin	Caffeic Acid Phenethyl Ester Inhibits Oral Cancer Cell Metastasis by Regulating Matrix Metalloproteinase-2 and the Mitogen-Activated Protein Kinase Pathway	Evidence-Based Complementary, and Alternative Medicine, Volume 2012, Article ID 732578	10.1155/2012/732578	2012			1.0			Duplicated microscopy panels	1	1/6/16		1.0		1	http://doi.org/10.1155/2012/732578	Hindawi	40	[nan, nan, nan, nan, nan, nan, nan, nan, 0.02, nan]	[[], [], [], [], [], [], [], [], [], []]	Chung Shan Medical University				967.0	Taiwan	18.0	367.0	567.0	218.0	727.0	973.0	645.0	946.0	871.0	44.06	2015.0																																		0.7382512	0
103	Chiung-Chyi Shen, Yi-Chin Yang, Ming-Tsang Chiao, Shiuh-Chuan Chan, and Bai-Shuan Liu	Low-Level Laser Stimulation on Adipose-Tissue-Derived Stem Cell Treatments for Focal Cerebral Ischemia in Rats	Evidence-Based Complementary, and Alternative Medicine, Volume 2013, Article ID 594906	10.1155/2013/594906	2013				1.0		shifted GAPDH panels	1	12/10/15		1.0		1	http://doi.org/10.1155/2013/594906	Hindawi	15	[0.21, nan, nan, nan, nan]	[[], [], [], [], []]	Taichung Veterans General Hospital																																																		0.6439941	0
104	Li Li, Ji-kun Du, Li-yi Zou, Tie Wu, Yong-woo Lee, and Yong-ho Kim	Decursin Isolated from Angelica gigas Nakai Rescues PC12 Cells from Amyloid __-Protein-Induced Neurotoxicity through Nrf2-Mediated Upregulation of Heme Oxygenase-1: Potential Roles of MAPK	Evidence-Based Complementary, and Alternative Medicine, Volume 2013, Article ID 467245	10.1155/2013/467245	2013		1.0		1.0		Multiple cases of shifted or rotated blot panels	1	9/3/14		1.0		1	http://doi.org/10.1155/2013/467245	Hindawi	18	[nan, nan, nan, nan, nan, nan]	[[], [], [], [], [], []]																																																			0.6200908	0
105	Nabilatul Hani Mohd-Radzman, Wan Iryani Wan Ismail, Siti Safura Jaapar, Zainah Adam, and Aishah Adam	Stevioside from Stevia rebaudiana Bertoni Increases Insulin Sensitivity in 3T3-L1 Adipocytes	Evidence-Based Complementary, and Alternative Medicine, Volume 2013, Article ID 938081	10.1155/2013/938081	2013					1.0	Same band seen twice in one blot strip	1	6/21/16		1.0		1	http://doi.org/10.1155/2013/938081	Hindawi	15	[nan, nan, nan, nan, nan]	[[], [], [], [], []]	Universiti Teknologi MARA																																																		0.6608597	0
106	Zhiqiang Wang, Baofang Jin, Xindong Zhang, Yugui Cui, Dalin Sun, and Chao Gao	Yangjing Capsule Extract Promotes Proliferation of GC-1 Spg Cells	Evidence-Based Complementary, and Alternative Medicine, Volume 2014, Article ID 640857	10.1155/2014/640857	2014					1.0	Possibly manipulated FACS images	1	11/9/15		1.0		1	http://doi.org/10.1155/2014/640857	Hindawi	18	[nan, nan, nan, nan, nan, nan]	[[], [], [], [], [], []]	Nanjing University of Chinese Medicine																														Los Angeles	CA	California	6037.0	Los Angeles	34.1139	-118.4068	12750807.0	3276.0	polygon	False	True	America/Los_Angeles	1.0	90291 90293 90292 91316 91311 90037 90031 90008 90004 90005 90006 90007 90001 90002 90003 90710 90089 91344 91345 91340 91342 91343 90035 90034 90036 90033 90032 90039 90247 90248 91436 91371 91605 91604 91607 91601 91602 90402 90068 90069 90062 90063 90061 90066 90067 90064 90065 91326 91324 91325 90013 90012 90011 90010 90017 90016 90015 90014 90019 90090 90095 90094 91042 91040 91411 91352 91356 90041 90042 90043 90044 90045 90046 90047 90048 90049 90018 91423 90210 91303 91304 91306 91307 90079 90071 90077 90059 91608 91606 91331 91330 91335 90026 90027 90024 90025 90023 90020 90021 90028 90029 90272 90732 90731 90230 91406 91405 91403 91402 91401 91367 91364 90038 90057 90058 90744 90501 90502 90009 90030 90050 90051 90053 90054 90055 90060 90070 90072 90074 90075 90076 90078 90080 90081 90082 90083 90084 90086 90087 90088 90093 90099 90134 90189 90213 90294 90295 90296 90733 90734 90748 91041 91043 91305 91308 91309 91313 91327 91328 91329 91333 91334 91337 91346 91353 91357 91365 91392 91393 91394 91395 91396 91404 91407 91408 91409 91410 91412 91413 91416 91426 91470 91482 91495 91496 91499 91603 91609 91610 91611 91612 91614 91615 91616 91617 91618	losangeles	4,921,499	4,291,688	629,811	12.0	0.6508299	0
107	Ya-min Zhang, Hong Xu, Hua Sun, Su-hui Chen, and Fu-ming Wang	Electroacupuncture Treatment Improves Neurological Function Associated with Regulation of Tight Junction Proteins in Rats with Cerebral Ischemia Reperfusion Injury	Evidence-Based Complementary, and Alternative Medicine, Volume 2014, Article ID 989340	10.1155/2014/989340	2014				1.0		overlapping microscopy images	1	11/11/15		1.0		1	http://doi.org/10.1155/2014/989340	Hindawi	15	[nan, nan, nan, nan, nan]	[[], [], [], [], []]																																																			0.69688916	0
108	Lilian Amrein, May Shawi, Jeremy Grenier, Raquel Aloyz, and Lawrence Panasci	The phosphatidylinositol-3 kinase I inhibitor BKM120 induces cell death in B-chronic lymphocytic leukemia cells in vitro	Int. J. Cancer: 133, 247ÃÂ252 (2013)	10.1002/ijc.27989	2013			1.0			Duplicated control blot panel	1	8/7/15		1.0		1	http://doi.org/10.1002/ijc.27989	Wiley	15	[nan, nan, nan, nan, nan]	[[], [], [], [], []]	McGill University																																																		0.59742075	0
109	Gong Yang, Imelda Mercado-Uribe, Asha S. Multani, Subrata Sen, Ie-Ming Shih, Kwong-Kwok Wong, David M. Gershenson, and Jinsong Liu	RAS promotes tumorigenesis through genomic instability induced by imbalanced expression of Aurora-A and BRCA2 in midbody during cytokinesis	Int. J. Cancer: 133, 275ÃÂ286 (2013) 	10.1002/ijc.28032	2013				1.0		Overlapping microscopy images	1	7/1/15		1.0		1	http://doi.org/10.1002/ijc.28032	Wiley	24	[nan, nan, nan, nan, nan, nan, nan, nan]	[[], [], [], [], [], [], [], []]	Fudan University																																																		0.70961624	0
110	Sujit K. Bhutia, Swadesh K. Das, Belal Azab, Mitchell E. Menezes, Paul Dent, Xiang-Yang Wang, Devanand Sarkar, and Paul B. Fisher	Targeting breast cancer-initiating/stem cells with melanoma differentiation-associated gene-7/interleukin-24	Int. J. Cancer: 133, 2726ÃÂ2736 (2013)	10.1002/ijc.28289	2013				1.0		Overlapping microscopy images	1	4/15/16		1.0		1	http://doi.org/10.1002/ijc.28289	Wiley	24	[0.07, nan, nan, nan, nan, nan, nan, nan]	[[], [], [], [], [], [], [], []]	National Institute of Technology Rourkela	7.0		Department of Life Science (LS)																																															0.7109823	0
111	Upal K. Basu Roy, Rebecca S. Henkhaus, Fotios Loupakis, Chiara Cremolini, Eugene W. Gerner, and Natalia A. Ignatenko	Caveolin-1 is a novel regulator of K-RAS-dependent migration in colon carcinogenesis	Int. J. Cancer: 133, 43ÃÂ58 (2013) 	10.1002/ijc.28001	2013				1.0		Reused blot, shifted, other protein	1	8/7/15		1.0		1	http://doi.org/10.1002/ijc.28001	Wiley	18	[nan, nan, nan, nan, nan, nan]	[[], [], [], [], [], []]	University of Arizona																																																		0.80019885	0
112	Teresa Lorenzi, Maria Lorenzi, Emma Altobelli, Daniela Marzioni, Emanuela Mensa__, Alexia Quaranta, Francesca Paolinelli, Manrico Morroni, Roberta Mazzucchelli, Antonio De Luca, Antonio Domenico Procopio, Alfonso Baldi, Giovanni Muzzonigro, Rodolfo Montironi, and Mario Castellucci	HtrA1 in human urothelial bladder cancer: A secreted protein and a potential novel biomarker	Int. J. Cancer: 133, 2650ÃÂ2661 (2013)	10.1002/ijc.28280	2013					1.0	Reused lanes, possibly duplicated lanes	1	8/7/15		1.0		1	http://doi.org/10.1002/ijc.28280	Wiley	60	[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]	[[], [], [], [], [], [], [], [], [], [], [], [], [], [], []]	Marche Polytechnic University Faculty of Medicine																																																		0.7816995	0
113	Jing Huang, Xianghua Ye, Jian Guan, Bin Chen, Qisheng Li, Xiaokang Zheng, Laiyu Liu, Shuang Wang, Yanqing Ding, Yi Ding, and Longhua Chen	Tiam1 is associated with hepatocellular carcinoma metastasis	Int. J. Cancer: 132, 90ÃÂ100 (2013)	10.1002/ijc.27627	2013				1.0		Overlapping microscopy images; multiple cases	1	8/7/15		1.0		1	http://doi.org/10.1002/ijc.27627	Wiley	44	[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]	[[], [], [], [], [], [], [], [], [], [], []]	Southern Medical University				963.0	China	72.0	367.0	567.0	218.0	801.0	758.0	812.0	932.0	782.0	44.06	2015.0																																		0.530341	0
114	Emanuela Rosati, Rita Sabatini, Filomena De Falco, Beatrice Del Papa, Franca Falzetti, Mauro Di Ianni, Laura Cavalli, Katia Fettucciari, Andrea Bartoli, Isabella Screpanti, and Pierfrancesco Marconi	c-Secretase inhibitor I induces apoptosis in chronic lymphocytic leukemia cells by proteasome inhibition, endoplasmic reticulum stress increase and Notch down-regulation	Int. J. Cancer: 132, 1940ÃÂ1953 (2013)	10.1002/ijc.27863	2013				1.0		Duplicated FACS panels, but different gating numbers	1	8/7/15		1.0		1	http://doi.org/10.1002/ijc.27863	Wiley	44	[0.3780487804878049, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]	[['Cellular Immunology ', 'Leukemia ', 'Frontiers in Oncology ', 'International Journal of Cancer ', 'British Journal of Haematology ', 'Department of Clinical and Experimental Medicine'], [], [], [], [], [], [], [], [], [], []]	University of Perugia				344.0	Italy	14.0	367.0	567.0	116.0	375.0	332.0	428.0	289.0	642.0	45.53	2015.0																																		0.7106102	0
115	Gayathri Chadalapaka, Indira Jutooru, Sandeep Sreevalsan, Satya Pathi, Kyounghyun Kim, Candy Chen, Lisa Crose, Corinne Linardic, and Stephen Safe	Inhibition of rhabdomyosarcoma cell and tumor growth by targeting specificity protein (Sp) transcription factors	Int. J. Cancer: 132, 795ÃÂ806 (2013)	10.1002/ijc.27730	2013			1.0			Duplicated microscopy images	1	7/1/15		1.0		1	http://doi.org/10.1002/ijc.27730	Wiley	27	[nan, nan, nan, nan, nan, nan, nan, nan, nan]	[[], [], [], [], [], [], [], [], []]	Texas A&M University				102.0	USA	56.0	339.0	108.0	46.0	77.0	98.0	88.0	143.0	201.0	50.43	2015.0	141	United States of America	46.2	49.1	51.9	55.1	49.6	50.9	50,657	21.4	9%	47:53:00	2015.0																					0.6945893	0
116	Baoyi Zhu, Xiaojuan Li, Yuying Zhang, Chunwei Ye, Yu Wang, Songwang Cai, Huaiqiu Huang, Yi Cai, Shuyuan Yeh, Zhenhua Huang, Ruihan Chen, Yiran Tao, and Xingqiao Wen	Cross-talk of alpha tocopherol-associated protein and JNK controls the oxidative stress-induced apoptosis in prostate cancer cells	Int. J. Cancer: 132, 2270ÃÂ2282 (2013)	10.1002/ijc.27927	2013				1.0		Multiple cases of overlapping microscopy images	1	7/1/15	1.0			1	http://doi.org/10.1002/ijc.27927	Wiley	52	[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]	[[], [], [], [], [], [], [], [], [], [], [], [], []]	Sun Yat-sen University																																																		0.5975528	0
117	Jing Hu, Holly Deng, and Eileen A. Friedman	Ovarian cancer cells, not normal cells, are damaged by Mirk/Dyrk1B kinase inhibition	Int. J. Cancer: 132, 2258ÃÂ2269 (2013)	10.1002/ijc.27917	2013				1.0		Duplicated FACS panels, but different gating numbers	1	7/1/15		1.0		1	http://doi.org/10.1002/ijc.27917	Wiley	9	[nan, nan, nan]	[[], [], []]	SUNY Upstate Medical University																														Syracuse	NY	New York	36067.0	Onondaga	43.0409	-76.1438	404223.0	2195.0	polygon	False	True	America/New_York	2.0	13210 13214 13290 13224 13207 13206 13205 13204 13203 13202 13208 13201 13217 13218 13221 13235 13244 13252 13261	onondaga	220,483	202,037	18,446	8.4	0.6418537	0
118	R. van Gelderen, J. Carson, N. Gudkovs, and B. Nowak	Physical characterisation of Tenacibaculum maritimum for vaccine development	Journal of Applied Microbiology 2010, 109:1668ÃÂ1676	10.1111/j.1365-2672.2010.04795.x	2010			1.0			Multiple cases of duplicated blot strips	1				1.0	1	http://doi.org/10.1111/j.1365-2672.2010.04795.x	Wiley	12	[nan, nan, nan, nan]	[[], [], [], []]	University of Tasmania				523.0	Australia	12.0	367.0	567.0	218.0	429.0	261.0	645.0	447.0	727.0	44.7	2015.0																																		0.70740426	0
119	Robert P. Ryan, Jean Lucey, Karen OÃÂDonovan, Yvonne McCarthy, Liang Yang, Tim Tolker-Nielsen, and J. Maxwell Dow	HD-GYP domain proteins regulate biofilm formation and virulence in Pseudomonas aeruginosa	Environmental Microbiology (2009) 11(5), 1126ÃÂ1136	10.1111/j.1462-2920.2008.01842.x	2009				1.0		Duplicated pic of agar plate, but different exposure.	1	2/23/16		1.0		1	http://doi.org/10.1111/j.1462-2920.2008.01842.x	Wiley	21	[nan, nan, nan, nan, nan, nan, nan]	[[], [], [], [], [], [], []]	National University of Ireland				558.0	Ireland	4.0	367.0	567.0	218.0	588.0	546.0	645.0	503.0	293.0	44.61	2015.0																																		0.66409165	0
120	Laurent Guillon, Maher El Mecherki, Stephan Altenburger, Peter L. Graumann, and Isabelle J. Schalk	High cellular organization of pyoverdine biosynthesis in Pseudomonas aeruginosa: clustering of PvdA at the old cell poleemi_274	Environmental Microbiology (2012) 14(8), 1982ÃÂ1994	10.1111/j.1462-2920.2012.02741.x	2012			1.0			Duplicated set of images - most likely an error	1	2/23/16		1.0		1	http://doi.org/10.1111/j.1462-2920.2012.02741.x	Wiley	12	[nan, nan, nan, nan]	[[], [], [], []]	University of Strasbourg																																																		0.62375987	0
121	Lei-Chin Chen, Jung-Chi Chen, Jwu-Ching Shu, Chien-Yen Chen, Ssu-Ching Chen, Shu-Hwa Chen, Chun-Yen Lin, Chi-Yu Lu, and Chien-Cheng Chen	Interplay of RsbM and RsbK controls the sB activity of Bacillus cereuse	Environmental Microbiology (2012) 14(10), 2788ÃÂ2799	10.1111/j.1462-2920.2012.02788.x	2012			1.0			Multiple cases of duplicated blot panels	1	2/23/16		1.0		1	http://doi.org/10.1111/j.1462-2920.2012.02788.x	Wiley	27	[nan, nan, nan, nan, nan, nan, nan, nan, nan]	[[], [], [], [], [], [], [], [], []]	I-Shou University	7.0																																																	0.72434825	0
122	Isao Hara, Noriyuki Sato, Hideaki Miyake, Mototsugu Muramaki, Satoko Hikosaka, and Sadao Kamidono	Introduction of 65 kDa Antigen of Mycobacterium tuberculosis to Cancer Cells Enhances Anti-Tumor Effect of BCG Therapy	Microbiol. Immunol., 48(4), 289ÃÂ295, 2004	10.1111/j.1348-0421.2004.tb03525.x	2004			1.0			Duplicated blot strips, two cases	1				1.0	1	http://doi.org/10.1111/j.1348-0421.2004.tb03525.x	Wiley	15	[nan, nan, nan, nan, nan]	[[], [], [], [], []]	Kobe University																																																		0.6827297	0
123	Noritoshi Kitamoto, Takayuki Kobayashi, Yoji Kato, Nobutaka Wakamiya, Kazuyoshi Ikuta, Tomoyuki Tanaka, Shigeharu Ueda, Hiroyuki Miyamoto, and Shiro Kato	Preparation of Monoclonal Antibodies Cross-Reactive with Orthopoxviruses and Their Application for Direct Immunofluorescence Test	Microbiol. Immunol., 49(3), 219ÃÂ225, 2005	10.1111/j.1348-0421.2005.tb03723.x	2005					1.0	Possible patches in microscopy, possible duplicated lanes	1			1.0		1	http://doi.org/10.1111/j.1348-0421.2005.tb03723.x	Wiley	24	[nan, nan, nan, nan, nan, nan, nan, nan]	[[], [], [], [], [], [], [], []]	University of Hyogo																																																		0.69436455	0
124	Kotla Siva Reddy, Dowlathabad. Muralidhar Rao, Hosur Joyappa Dechamma, Veluvarthy V.S. Suryanarayana, and Golla Ramalinga Reddy	Expression of bovine (Bos indicus) interleukin-18 in Escherichia coli and its biological activity	Microbiol Immunol 2010; 54: 564ÃÂ567	10.1111/j.1348-0421.2010.00241.x	2010					1.0	Marker bands all identical?	1				1.0	1	http://doi.org/10.1111/j.1348-0421.2010.00241.x	Wiley	15	[0.30952380952380953, nan, nan, nan, nan]	[[], [], [], [], []]	University of Tennessee																																																		0.78211826	0
125	H. Liu, D. Gu, L. Sheng, Q. Wang, and Y. Zhang	Investigation of the roles of T6SS genes in motility, biofilm formation and extracellular protease Asp production in Vibrio alginolyticus with modified Gateway-compatible plasmids	Letters in Applied Microbiology 55, 73ÃÂ81, 2012	10.1111/j.1472-765X.2012.03263.x	2012					1.0	duplicated blot panel	1				1.0	1	http://doi.org/10.1111/j.1472-765X.2012.03263.x	Wiley	15	[nan, 0.11764705882352941, nan, nan, nan]	"[[], [""This person is not on ResearchGate, or hasn't claimed this research yet."", 'Preprints and early-stage research may not have been peer reviewed yet.', '', ' Read file', ' Download citation', ' Copy link Link copied', 'Content uploaded by Pallavi Thakur', 'Advertisement', 'ResearchGate iOS App'], [], [], []]"	East China University of Science and Technology				477.0	China	25.0	367.0	567.0	218.0	423.0	828.0	645.0	471.0	184.0	44.86	2015.0																																		0.7476444	0
126	Sandrine Koechler, Jessica Cleiss-Arnold, Caroline Proux, Odile Sismeiro, Marie-Agne_s Dillies, Florence Goulhen-Chollet, Florence Hommais, Didier LiÃÂvremont, Florence ArsÃÂne-Ploetze, Jean-Yves CoppÃÂe, Philippe N Bertin Gi	Multiple controls affect arsenite oxidase gene expression in Herminiimonas arsenicoxydans	BMC Microbiology 2010	10.1186/1471-2180-10-53	2010			1.0			Duplicated blot strips, multiple cases	1	3/28/17		1.0		1	http://doi.org/10.1186/1471-2180-10-53	BioMed	44	[]	[]	University of Strasbourg																																																		0.7677251	0
127	Scarlett R Holdsworth, and Christopher J Law	Multidrug resistance protein MdtM adds to the repertoire of antiporters involved in alkaline pH homeostasis in Escherichia coli	BMC Microbiology 2013, 13:113	10.1186/1471-2180-13-113	2013				1.0		Overlapping images of colony panels	1	4/12/17		1.0		1	http://doi.org/10.1186/1471-2180-13-113	BioMed	6	[nan, nan]	[[], []]	Queen's University Belfast				343.0	United Kingdom	33.0	183.0	387.0	218.0	306.0	276.0	264.0	313.0	377.0	45.53	2015.0																																		0.66455877	0
128	Daniel C Kraushaar, Wenfei Jin, Alika Maunakea, Brian Abraham, Misook Ha, and Keji Zhao	Genome-wide incorporation dynamics reveal distinct categories of turnover for the histone variant H3.3	Genome Biology 2013, 14:R121	10.1186/gb-2013-14-10-r121	2013			1.0			duplicated microscopy panel; might be error	1			1.0		1	http://doi.org/10.1186/gb-2013-14-10-r121	BioMed	18	[nan, nan, 0.4, nan, 0.2, nan]	[[], [], [], [], ['Journal of the American Society for Information Science and Technology ', 'School of Information Sciences'], []]	National Heart, Lung, and Blood Institute																																																		0.635085	0
129	Arumugam Nagalingam, Jack L Arbiser, Michael Y Bonner, Neeraj K Saxena, and Dipali Sharma	Honokiol activates AMP-activated protein kinase in breast cancer cells via an LKB1-dependent pathway and inhibits breast carcinogenesis	Breast Cancer Research 2012, 14:R35	10.1186/bcr3128	2012			1.0			Duplicated microscopy images	1	3/28/17		1.0		1	http://doi.org/10.1186/bcr3128	BioMed	12	[nan, nan, 0.11, 0.08]	[[], [], [], []]	Johns Hopkins University																																																		0.86356115	0
130	Ingunn Holen, Jacob Whitworth, Faith Nutter, Alyson Evans, Hannah K Brown, Diane V Lefley, Ivana Barbaric, __Mark Jones, and Penelope D Ottewell	Loss of plakoglobin promotes decreased cell-cell contact, increased invasion and breast cancer cell dissemination in vivo	Breast Cancer Research 2012, 14:R86	10.1186/bcr3201	2012			1.0			Duplicated microscopy images	1	3/28/17		1.0		1	http://doi.org/10.1186/bcr3201	BioMed	24	[nan, nan, nan, nan, nan, 0.22857142857142856, nan, nan]	[[], [], [], [], [], [], [], []]	University of Sheffield				173.0	United Kingdom	14.0	142.0	209.0	196.0	129.0	137.0	136.0	147.0	179.0	48.07	2015.0	121	United Kingdom	40.0	74.8	39.1	74.3	43.8	52.7	23,311	15.5	31%	50:50:00	2015.0																					0.8195078	0
